N,Method,Result,Expected,AbsError,Time_ns
10,RectLeft,4.0277864351,4.0683748431,0.0405884081,625
10,RectRight,4.0277864351,4.0683748431,0.0405884081,84
10,RectMid,4.0903687615,4.0683748431,0.0219939184,167
10,Trapezoid,4.0277864351,4.0683748431,0.0405884081,166
10,MonteCarlo,4.8000000000,4.0683748431,0.7316251569,1125
50,RectLeft,4.0669200640,4.0683748431,0.0014547791,458
50,RectRight,4.0669200640,4.0683748431,0.0014547791,417
50,RectMid,4.0691044932,4.0683748431,0.0007296501,500
50,Trapezoid,4.0669200640,4.0683748431,0.0014547791,458
50,MonteCarlo,3.6000000000,4.0683748431,0.4683748431,1917
100,RectLeft,4.0680122786,4.0683748431,0.0003625645,834
100,RectRight,4.0680122786,4.0683748431,0.0003625645,792
100,RectMid,4.0685562659,4.0683748431,0.0001814228,833
100,Trapezoid,4.0680122786,4.0683748431,0.0003625645,792
100,MonteCarlo,3.6600000000,4.0683748431,0.4083748431,2542
500,RectLeft,4.0683603549,4.0683748431,0.0000144882,3167
500,RectRight,4.0683603549,4.0683748431,0.0000144882,3250
500,RectMid,4.0683820875,4.0683748431,0.0000072443,3291
500,Trapezoid,4.0683603549,4.0683748431,0.0000144882,3250
500,MonteCarlo,4.0920000000,4.0683748431,0.0236251569,9750
1000,RectLeft,4.0683712212,4.0683748431,0.0000036219,5959
1000,RectRight,4.0683712212,4.0683748431,0.0000036219,6042
1000,RectMid,4.0683766541,4.0683748431,0.0000018110,6125
1000,Trapezoid,4.0683712212,4.0683748431,0.0000036219,6000
1000,MonteCarlo,4.1040000000,4.0683748431,0.0356251569,17750
5000,RectLeft,4.0683746983,4.0683748431,0.0000001449,28709
5000,RectRight,4.0683746983,4.0683748431,0.0000001449,29167
5000,RectMid,4.0683749156,4.0683748431,0.0000000724,29625
5000,Trapezoid,4.0683746983,4.0683748431,0.0000001449,29000
5000,MonteCarlo,4.0908000000,4.0683748431,0.0224251569,88208
10000,RectLeft,4.0683748069,4.0683748431,0.0000000362,57167
10000,RectRight,4.0683748069,4.0683748431,0.0000000362,58209
10000,RectMid,4.0683748613,4.0683748431,0.0000000181,58875
10000,Trapezoid,4.0683748069,4.0683748431,0.0000000362,57791
10000,MonteCarlo,4.0716000000,4.0683748431,0.0032251569,174917
50000,RectLeft,4.0683748417,4.0683748431,0.0000000014,299584
50000,RectRight,4.0683748417,4.0683748431,0.0000000014,422958
50000,RectMid,4.0683748439,4.0683748431,0.0000000007,420584
50000,Trapezoid,4.0683748417,4.0683748431,0.0000000014,413250
50000,MonteCarlo,4.0472400000,4.0683748431,0.0211348431,1206583
100000,RectLeft,4.0683748428,4.0683748431,0.0000000004,750959
100000,RectRight,4.0683748428,4.0683748431,0.0000000004,764292
100000,RectMid,4.0683748433,4.0683748431,0.0000000002,807416
100000,Trapezoid,4.0683748428,4.0683748431,0.0000000004,760625
100000,MonteCarlo,4.0558800000,4.0683748431,0.0124948431,2339500
500000,RectLeft,4.0683748431,4.0683748431,0.0000000000,3522459
500000,RectRight,4.0683748431,4.0683748431,0.0000000000,3509834
500000,RectMid,4.0683748431,4.0683748431,0.0000000000,3346584
500000,Trapezoid,4.0683748431,4.0683748431,0.0000000000,3188125
500000,MonteCarlo,4.0669200000,4.0683748431,0.0014548431,9565334
1000000,RectLeft,4.0683748431,4.0683748431,0.0000000000,5700958
1000000,RectRight,4.0683748431,4.0683748431,0.0000000000,5533334
1000000,RectMid,4.0683748431,4.0683748431,0.0000000000,5553833
1000000,Trapezoid,4.0683748431,4.0683748431,0.0000000000,5294583
1000000,MonteCarlo,4.0668240000,4.0683748431,0.0015508431,16154875
